Soil Type,Nitrogen,Phosphorus,Potassium,Soil Moisture,Humidity,Temparature,Crop Type,Fertilizer Name
Black,90,60,115,70.5,15,35,Sugarcane,MOP
Black,95,60,115,70.5,15,35,Sugarcane,MOP
Black,100,60,115,70.5,15,35,Sugarcane,MOP
Black,20,25,25,60.5,60,25,Jowar,10:26:26 NPK
Black,25,25,25,60.5,60,25,Jowar,10:26:26 NPK
Black,30,25,25,60.5,60,25,Jowar,10:26:26 NPK
Black,35,25,25,60.5,60,25,Jowar,10:26:26 NPK
Black,40,25,25,60.5,60,25,Jowar,10:26:26 NPK
Black,20,30,30,70,70,30,Jowar,10:26:26 NPK
Black,25,30,30,70,70,30,Jowar,10:26:26 NPK
Black,30,30,30,70,70,30,Jowar,10:26:26 NPK
Black,35,30,30,70,70,30,Jowar,10:26:26 NPK
Black,40,30,30,70,70,30,Jowar,10:26:26 NPK
Black,20,35,35,70.5,80,25,Jowar,10:26:26 NPK
Black,25,35,35,70.5,80,25,Jowar,10:26:26 NPK
Black,30,35,35,70.5,80,25,Jowar,10:26:26 NPK
Black,35,35,35,70.5,80,25,Jowar,10:26:26 NPK
Black,40,35,35,70.5,80,25,Jowar,10:26:26 NPK
Black,20,25,40,60.5,60,30,Jowar,10:26:26 NPK
Black,25,25,40,60.5,60,30,Jowar,10:26:26 NPK
Black,30,25,40,60.5,60,30,Jowar,10:26:26 NPK
Black,35,25,40,60.5,60,30,Jowar,10:26:26 NPK
Black,40,25,40,60.5,60,30,Jowar,10:26:26 NPK
Black,20,30,25,70,70,25,Jowar,Urea
Black,25,30,25,70,70,25,Jowar,Urea
Black,30,30,25,70,70,25,Jowar,Urea
Black,35,30,25,70,70,25,Jowar,Urea
Black,40,30,25,70,70,25,Jowar,Urea
Black,20,35,30,70.5,80,30,Jowar,Urea
Black,25,35,30,70.5,80,30,Jowar,Urea
Black,30,35,30,70.5,80,30,Jowar,Urea
Black,35,35,30,70.5,80,30,Jowar,Urea
Black,40,35,30,70.5,80,30,Jowar,Urea
Black,20,25,35,60.5,60,25,Jowar,Urea
Black,25,25,35,60.5,60,25,Jowar,Urea
Black,30,25,35,60.5,60,25,Jowar,Urea
Black,35,25,35,60.5,60,25,Jowar,Urea
Black,40,25,35,60.5,60,25,Jowar,Urea
Black,20,30,40,70,70,30,Jowar,Urea
Black,25,30,40,70,70,30,Jowar,Urea
Black,30,30,40,70,70,30,Jowar,Urea
Black,35,30,40,70,70,30,Jowar,Urea
Black,40,30,40,70,70,30,Jowar,Urea
Black,20,35,25,70.5,80,25,Jowar,SSP
Black,25,35,25,70.5,80,25,Jowar,SSP
Black,30,35,25,70.5,80,25,Jowar,SSP
Black,35,35,25,70.5,80,25,Jowar,SSP
Black,40,35,25,70.5,80,25,Jowar,SSP
Black,20,25,30,60.5,60,30,Jowar,SSP
Black,25,25,30,60.5,60,30,Jowar,SSP
Black,30,25,30,60.5,60,30,Jowar,SSP
Black,35,25,30,60.5,60,30,Jowar,SSP
Black,40,25,30,60.5,60,30,Jowar,SSP
Black,20,30,35,70,70,25,Jowar,SSP
Black,25,30,35,70,70,25,Jowar,SSP
Black,30,30,35,70,70,25,Jowar,SSP
Black,35,30,35,70,70,25,Jowar,SSP
Black,40,30,35,70,70,25,Jowar,SSP
Black,20,35,40,70.5,80,30,Jowar,SSP
Black,25,35,40,70.5,80,30,Jowar,SSP
Black,30,35,40,70.5,80,30,Jowar,SSP
Black,35,35,40,70.5,80,30,Jowar,SSP
Black,40,35,40,70.5,80,30,Jowar,SSP
Black,40,20,20,60,60,25,Jowar,10:26:26 NPK
Black,45,20,20,60,60,25,Jowar,10:26:26 NPK
Black,50,20,20,60,60,25,Jowar,10:26:26 NPK
Black,40,25,25,60.5,70,30,Jowar,10:26:26 NPK
Black,45,25,25,60.5,70,30,Jowar,10:26:26 NPK
Black,50,25,25,60.5,70,30,Jowar,10:26:26 NPK
Black,40,20,25,70,80,25,Jowar,10:26:26 NPK
Black,45,20,25,70,80,25,Jowar,10:26:26 NPK
Black,50,20,25,70,80,25,Jowar,10:26:26 NPK
Black,40,25,20,70.5,60,30,Jowar,10:26:26 NPK
Black,45,25,20,70.5,60,30,Jowar,10:26:26 NPK
Black,50,25,20,70.5,60,30,Jowar,10:26:26 NPK
Red ,100,40,50,60,80,25,Cotton,DAP
Red ,105,40,50,60,80,25,Cotton,DAP
Red ,100,40,50,60,80,25,Cotton,DAP
Red ,115,40,50,60,80,25,Cotton,DAP
Red ,120,40,50,60,80,25,Cotton,DAP
Red ,125,40,50,60,80,25,Cotton,DAP
Red ,13,40,50,60,80,25,Cotton,DAP
Red ,135,40,50,60,80,25,Cotton,DAP
Red ,14,40,50,60,80,25,Cotton,DAP
Red ,145,40,50,60,80,25,Cotton,DAP
Red ,15,40,50,60,80,25,Cotton,DAP
Red ,100,45,55,60.5,90,30,Cotton,DAP
Red ,105,45,55,60.5,90,30,Cotton,DAP
Red ,100,45,55,60.5,90,30,Cotton,DAP
Red ,115,45,55,60.5,90,30,Cotton,DAP
Red ,120,45,55,60.5,90,30,Cotton,DAP
Red ,125,45,55,60.5,90,30,Cotton,DAP
Red ,13,45,55,60.5,90,30,Cotton,DAP
Red ,135,45,55,60.5,90,30,Cotton,DAP
Red ,14,45,55,60.5,90,30,Cotton,DAP
Red ,145,45,55,60.5,90,30,Cotton,DAP
Red ,15,45,55,60.5,90,30,Cotton,DAP
Red ,100,50,60,70,100,35,Cotton,DAP
Red ,105,50,60,70,100,35,Cotton,DAP
Red ,100,50,60,70,100,35,Cotton,DAP
Red ,115,50,60,70,100,35,Cotton,DAP
Red ,120,50,60,70,100,35,Cotton,DAP
Red ,125,50,60,70,100,35,Cotton,DAP
Red ,13,50,60,70,100,35,Cotton,DAP
Red ,135,50,60,70,100,35,Cotton,DAP
Red ,14,50,60,70,100,35,Cotton,DAP
Red ,145,50,60,70,100,35,Cotton,DAP
Red ,15,50,60,70,100,35,Cotton,DAP
Red ,100,55,65,70.5,80,25,Cotton,DAP
Red ,105,55,65,70.5,80,25,Cotton,DAP
Red ,100,55,65,70.5,80,25,Cotton,DAP
Red ,115,55,65,70.5,80,25,Cotton,DAP
Red ,120,55,65,70.5,80,25,Cotton,DAP
Red ,125,55,65,70.5,80,25,Cotton,DAP
Red ,13,55,65,70.5,80,25,Cotton,DAP
Red ,135,55,65,70.5,80,25,Cotton,DAP
Red ,14,55,65,70.5,80,25,Cotton,DAP
Red ,145,55,65,70.5,80,25,Cotton,DAP
Red ,15,55,65,70.5,80,25,Cotton,DAP
Red ,100,60,70,60,90,30,Cotton,DAP
Red ,105,60,70,60,90,30,Cotton,DAP
Red ,100,60,70,60,90,30,Cotton,DAP
Red ,115,60,70,60,90,30,Cotton,DAP
Red ,120,60,70,60,90,30,Cotton,DAP
Red ,125,60,70,60,90,30,Cotton,DAP
Red ,13,60,70,60,90,30,Cotton,DAP
Red ,135,60,70,60,90,30,Cotton,DAP
Red ,14,60,70,60,90,30,Cotton,DAP
Red ,145,60,70,60,90,30,Cotton,DAP
Red ,15,60,70,60,90,30,Cotton,DAP
Red ,100,40,75,60.5,100,35,Cotton,DAP
Red ,105,40,75,60.5,100,35,Cotton,DAP
Red ,100,40,75,60.5,100,35,Cotton,DAP
Red ,115,40,75,60.5,100,35,Cotton,DAP
Red ,120,40,75,60.5,100,35,Cotton,DAP
Red ,125,40,75,60.5,100,35,Cotton,DAP
Red ,13,40,75,60.5,100,35,Cotton,DAP
Red ,135,40,75,60.5,100,35,Cotton,DAP
Red ,14,40,75,60.5,100,35,Cotton,DAP
Red ,145,40,75,60.5,100,35,Cotton,DAP
Red ,15,40,75,60.5,100,35,Cotton,DAP
Red ,100,45,50,60,80,25,Cotton,Magnesium Sulphate
Red ,105,45,50,60,80,25,Cotton,Magnesium Sulphate
Red ,100,45,50,60,80,25,Cotton,Magnesium Sulphate
Red ,115,45,50,60,80,25,Cotton,Magnesium Sulphate
Red ,120,45,50,60,80,25,Cotton,Magnesium Sulphate
Red ,125,45,50,60,80,25,Cotton,Magnesium Sulphate
Red ,13,45,50,60,80,25,Cotton,Magnesium Sulphate
Red ,135,45,50,60,80,25,Cotton,Magnesium Sulphate
Red ,14,45,50,60,80,25,Cotton,Magnesium Sulphate
Red ,145,45,50,60,80,25,Cotton,Magnesium Sulphate
Red ,15,45,50,60,80,25,Cotton,Magnesium Sulphate
Red ,100,50,55,60.5,90,30,Cotton,Magnesium Sulphate
Red ,105,50,55,60.5,90,30,Cotton,Magnesium Sulphate
Red ,100,50,55,60.5,90,30,Cotton,Magnesium Sulphate
Red ,115,50,55,60.5,90,30,Cotton,Magnesium Sulphate
Red ,120,50,55,60.5,90,30,Cotton,Magnesium Sulphate
Red ,125,50,55,60.5,90,30,Cotton,Magnesium Sulphate
Red ,13,50,55,60.5,90,30,Cotton,Magnesium Sulphate
Red ,135,50,55,60.5,90,30,Cotton,Magnesium Sulphate
Red ,14,50,55,60.5,90,30,Cotton,Magnesium Sulphate
Red ,145,50,55,60.5,90,30,Cotton,Magnesium Sulphate
Red ,15,50,55,60.5,90,30,Cotton,Magnesium Sulphate
Red ,100,55,60,70,100,35,Cotton,Magnesium Sulphate
Red ,105,55,60,70,100,35,Cotton,Magnesium Sulphate
Red ,100,55,60,70,100,35,Cotton,Magnesium Sulphate
Red ,115,55,60,70,100,35,Cotton,Magnesium Sulphate
Red ,120,55,60,70,100,35,Cotton,Magnesium Sulphate
Red ,125,55,60,70,100,35,Cotton,Magnesium Sulphate
Red ,13,55,60,70,100,35,Cotton,Magnesium Sulphate
Red ,135,55,60,70,100,35,Cotton,Magnesium Sulphate
Red ,14,55,60,70,100,35,Cotton,Magnesium Sulphate
Red ,145,55,60,70,100,35,Cotton,Magnesium Sulphate
Red ,15,55,60,70,100,35,Cotton,Magnesium Sulphate
Red ,100,60,65,70.5,80,25,Cotton,Magnesium Sulphate
Red ,105,60,65,70.5,80,25,Cotton,Magnesium Sulphate
Red ,100,60,65,70.5,80,25,Cotton,Magnesium Sulphate
Red ,115,60,65,70.5,80,25,Cotton,Magnesium Sulphate
Red ,120,60,65,70.5,80,25,Cotton,Magnesium Sulphate
Red ,125,60,65,70.5,80,25,Cotton,Magnesium Sulphate
Red ,13,60,65,70.5,80,25,Cotton,Magnesium Sulphate
Red ,135,60,65,70.5,80,25,Cotton,Magnesium Sulphate
Red ,14,60,65,70.5,80,25,Cotton,Magnesium Sulphate
Red ,145,60,65,70.5,80,25,Cotton,Magnesium Sulphate
Red ,15,60,65,70.5,80,25,Cotton,Magnesium Sulphate
Red ,100,40,70,60,90,30,Cotton,Magnesium Sulphate
Red ,105,40,70,60,90,30,Cotton,Magnesium Sulphate
Red ,100,40,70,60,90,30,Cotton,Magnesium Sulphate
Red ,115,40,70,60,90,30,Cotton,Magnesium Sulphate
Red ,120,40,70,60,90,30,Cotton,Magnesium Sulphate
Red ,125,40,70,60,90,30,Cotton,Magnesium Sulphate
Red ,13,40,70,60,90,30,Cotton,Magnesium Sulphate
Red ,135,40,70,60,90,30,Cotton,Magnesium Sulphate
Red ,14,40,70,60,90,30,Cotton,Magnesium Sulphate
Red ,145,40,70,60,90,30,Cotton,Magnesium Sulphate
Red ,15,40,70,60,90,30,Cotton,Magnesium Sulphate
Red ,100,45,75,60.5,100,35,Cotton,Magnesium Sulphate
Red ,105,45,75,60.5,100,35,Cotton,Magnesium Sulphate
Red ,100,45,75,60.5,100,35,Cotton,Magnesium Sulphate
Red ,115,45,75,60.5,100,35,Cotton,Magnesium Sulphate
Red ,120,45,75,60.5,100,35,Cotton,Magnesium Sulphate
Red ,125,45,75,60.5,100,35,Cotton,Magnesium Sulphate
Red ,13,45,75,60.5,100,35,Cotton,Magnesium Sulphate
Red ,135,45,75,60.5,100,35,Cotton,Magnesium Sulphate
Red ,14,45,75,60.5,100,35,Cotton,Magnesium Sulphate
Red ,145,45,75,60.5,100,35,Cotton,Magnesium Sulphate
Red ,15,45,75,60.5,100,35,Cotton,Magnesium Sulphate
Red ,100,50,50,70,80,25,Cotton,13:32:26 NPK
Red ,105,50,50,70,80,25,Cotton,13:32:26 NPK
Red ,100,50,50,70,80,25,Cotton,13:32:26 NPK
Red ,115,50,50,70,80,25,Cotton,13:32:26 NPK
Red ,120,50,50,70,80,25,Cotton,13:32:26 NPK
Red ,125,50,50,70,80,25,Cotton,13:32:26 NPK
Red ,13,50,50,70,80,25,Cotton,13:32:26 NPK
Red ,135,50,50,70,80,25,Cotton,13:32:26 NPK
Red ,14,50,50,70,80,25,Cotton,13:32:26 NPK
Red ,145,50,50,70,80,25,Cotton,13:32:26 NPK
Red ,15,50,50,70,80,25,Cotton,13:32:26 NPK
Red ,100,55,55,70.5,90,30,Cotton,13:32:26 NPK
Red ,105,55,55,70.5,90,30,Cotton,13:32:26 NPK
Red ,100,55,55,70.5,90,30,Cotton,13:32:26 NPK
Red ,115,55,55,70.5,90,30,Cotton,13:32:26 NPK
Red ,120,55,55,70.5,90,30,Cotton,13:32:26 NPK
Red ,125,55,55,70.5,90,30,Cotton,13:32:26 NPK
Red ,13,55,55,70.5,90,30,Cotton,13:32:26 NPK
Red ,135,55,55,70.5,90,30,Cotton,13:32:26 NPK
Red ,14,55,55,70.5,90,30,Cotton,13:32:26 NPK
Red ,145,55,55,70.5,90,30,Cotton,13:32:26 NPK
Red ,15,55,55,70.5,90,30,Cotton,13:32:26 NPK
Red ,100,60,60,60,100,35,Cotton,13:32:26 NPK
Red ,105,60,60,60,100,35,Cotton,13:32:26 NPK
Red ,100,60,60,60,100,35,Cotton,13:32:26 NPK
Red ,115,60,60,60,100,35,Cotton,13:32:26 NPK
Red ,120,60,60,60,100,35,Cotton,13:32:26 NPK
Red ,125,60,60,60,100,35,Cotton,13:32:26 NPK
Red ,13,60,60,60,100,35,Cotton,13:32:26 NPK
Red ,135,60,60,60,100,35,Cotton,13:32:26 NPK
Red ,14,60,60,60,100,35,Cotton,13:32:26 NPK
Red ,145,60,60,60,100,35,Cotton,13:32:26 NPK
Red ,15,60,60,60,100,35,Cotton,13:32:26 NPK
Red ,100,40,65,60.5,80,25,Cotton,13:32:26 NPK
Red ,105,40,65,60.5,80,25,Cotton,13:32:26 NPK
Red ,100,40,65,60.5,80,25,Cotton,13:32:26 NPK
Red ,115,40,65,60.5,80,25,Cotton,13:32:26 NPK
Red ,120,40,65,60.5,80,25,Cotton,13:32:26 NPK
Red ,125,40,65,60.5,80,25,Cotton,13:32:26 NPK
Red ,13,40,65,60.5,80,25,Cotton,13:32:26 NPK
Red ,135,40,65,60.5,80,25,Cotton,13:32:26 NPK
Red ,14,40,65,60.5,80,25,Cotton,13:32:26 NPK
Red ,145,40,65,60.5,80,25,Cotton,13:32:26 NPK
Red ,15,40,65,60.5,80,25,Cotton,13:32:26 NPK
Red ,100,45,70,70,90,30,Cotton,13:32:26 NPK
Red ,105,45,70,70,90,30,Cotton,13:32:26 NPK
Red ,100,45,70,70,90,30,Cotton,13:32:26 NPK
Red ,115,45,70,70,90,30,Cotton,13:32:26 NPK
Red ,120,45,70,70,90,30,Cotton,13:32:26 NPK
Red ,125,45,70,70,90,30,Cotton,13:32:26 NPK
Red ,13,45,70,70,90,30,Cotton,13:32:26 NPK
Red ,135,45,70,70,90,30,Cotton,13:32:26 NPK
Red ,14,45,70,70,90,30,Cotton,13:32:26 NPK
Red ,145,45,70,70,90,30,Cotton,13:32:26 NPK
Red ,15,45,70,70,90,30,Cotton,13:32:26 NPK
Red ,100,50,75,70.5,100,35,Cotton,13:32:26 NPK
Red ,105,50,75,70.5,100,35,Cotton,13:32:26 NPK
Red ,100,50,75,70.5,100,35,Cotton,13:32:26 NPK
Red ,115,50,75,70.5,100,35,Cotton,13:32:26 NPK
Red ,120,50,75,70.5,100,35,Cotton,13:32:26 NPK
Red ,125,50,75,70.5,100,35,Cotton,13:32:26 NPK
Red ,13,50,75,70.5,100,35,Cotton,13:32:26 NPK
Red ,135,50,75,70.5,100,35,Cotton,13:32:26 NPK
Red ,14,50,75,70.5,100,35,Cotton,13:32:26 NPK
Red ,145,50,75,70.5,100,35,Cotton,13:32:26 NPK
Red ,15,50,75,70.5,100,35,Cotton,13:32:26 NPK
Red ,100,55,50,60,80,25,Cotton,DAP
Red ,105,55,50,60,80,25,Cotton,DAP
Red ,100,55,50,60,80,25,Cotton,DAP
Red ,115,55,50,60,80,25,Cotton,DAP
Red ,120,55,50,60,80,25,Cotton,DAP
Red ,125,55,50,60,80,25,Cotton,DAP
Red ,13,55,50,60,80,25,Cotton,DAP
Red ,135,55,50,60,80,25,Cotton,DAP
Red ,14,55,50,60,80,25,Cotton,DAP
Red ,145,55,50,60,80,25,Cotton,DAP
Red ,15,55,50,60,80,25,Cotton,DAP
Red ,100,60,55,60.5,90,30,Cotton,DAP
Red ,105,60,55,60.5,90,30,Cotton,DAP
Red ,100,60,55,60.5,90,30,Cotton,DAP
Red ,115,60,55,60.5,90,30,Cotton,DAP
Red ,120,60,55,60.5,90,30,Cotton,DAP
Red ,125,60,55,60.5,90,30,Cotton,DAP
Red ,13,60,55,60.5,90,30,Cotton,DAP
Red ,135,60,55,60.5,90,30,Cotton,DAP
Red ,14,60,55,60.5,90,30,Cotton,DAP
Red ,145,60,55,60.5,90,30,Cotton,DAP
Red ,15,60,55,60.5,90,30,Cotton,DAP
Red ,100,40,60,70,100,35,Cotton,DAP
Red ,105,40,60,70,100,35,Cotton,DAP
Red ,100,40,60,70,100,35,Cotton,DAP
Red ,115,40,60,70,100,35,Cotton,DAP
Red ,120,40,60,70,100,35,Cotton,DAP
Red ,125,40,60,70,100,35,Cotton,DAP
Red ,13,40,60,70,100,35,Cotton,DAP
Red ,135,40,60,70,100,35,Cotton,DAP
Red ,14,40,60,70,100,35,Cotton,DAP
Red ,145,40,60,70,100,35,Cotton,DAP
Red ,15,40,60,70,100,35,Cotton,DAP
Red ,100,45,65,70.5,80,25,Cotton,DAP
Red ,105,45,65,70.5,80,25,Cotton,DAP
Red ,100,45,65,70.5,80,25,Cotton,DAP
Red ,115,45,65,70.5,80,25,Cotton,DAP
Red ,120,45,65,70.5,80,25,Cotton,DAP
Red ,125,45,65,70.5,80,25,Cotton,DAP
Red ,13,45,65,70.5,80,25,Cotton,DAP
Red ,135,45,65,70.5,80,25,Cotton,DAP
Red ,14,45,65,70.5,80,25,Cotton,DAP
Red ,145,45,65,70.5,80,25,Cotton,DAP
Red ,15,45,65,70.5,80,25,Cotton,DAP
Red ,100,50,70,60,90,30,Cotton,DAP
Red ,105,50,70,60,90,30,Cotton,DAP
Red ,100,50,70,60,90,30,Cotton,DAP
Red ,115,50,70,60,90,30,Cotton,DAP
Red ,120,50,70,60,90,30,Cotton,DAP
Red ,125,50,70,60,90,30,Cotton,DAP
Red ,13,50,70,60,90,30,Cotton,DAP
Red ,135,50,70,60,90,30,Cotton,DAP
Red ,14,50,70,60,90,30,Cotton,DAP
Red ,145,50,70,60,90,30,Cotton,DAP
Red ,15,50,70,60,90,30,Cotton,DAP
Red ,100,55,75,60.5,100,35,Cotton,DAP
Red ,105,55,75,60.5,100,35,Cotton,DAP
Red ,100,55,75,60.5,100,35,Cotton,DAP
Red ,115,55,75,60.5,100,35,Cotton,DAP
Red ,120,55,75,60.5,100,35,Cotton,DAP
Red ,125,55,75,60.5,100,35,Cotton,DAP
Red ,13,55,75,60.5,100,35,Cotton,DAP
Red ,135,55,75,60.5,100,35,Cotton,DAP
Red ,14,55,75,60.5,100,35,Cotton,DAP
Red ,145,55,75,60.5,100,35,Cotton,DAP
Red ,15,55,75,60.5,100,35,Cotton,DAP
Red ,100,60,50,70,80,25,Cotton,Magnesium Sulphate
Red ,105,60,50,70,80,25,Cotton,Magnesium Sulphate
Red ,100,60,50,70,80,25,Cotton,Magnesium Sulphate
Red ,115,60,50,70,80,25,Cotton,Magnesium Sulphate
Red ,120,60,50,70,80,25,Cotton,Magnesium Sulphate
Red ,125,60,50,70,80,25,Cotton,Magnesium Sulphate
Red ,13,60,50,70,80,25,Cotton,Magnesium Sulphate
Red ,135,60,50,70,80,25,Cotton,Magnesium Sulphate
Red ,14,60,50,70,80,25,Cotton,Magnesium Sulphate
Red ,145,60,50,70,80,25,Cotton,Magnesium Sulphate
Red ,15,60,50,70,80,25,Cotton,Magnesium Sulphate
Red ,100,40,55,70.5,90,30,Cotton,Magnesium Sulphate
Red ,105,40,55,70.5,90,30,Cotton,Magnesium Sulphate
Red ,100,40,55,70.5,90,30,Cotton,Magnesium Sulphate
Red ,115,40,55,70.5,90,30,Cotton,Magnesium Sulphate
Red ,120,40,55,70.5,90,30,Cotton,Magnesium Sulphate
Red ,125,40,55,70.5,90,30,Cotton,Magnesium Sulphate
Red ,13,40,55,70.5,90,30,Cotton,Magnesium Sulphate
Red ,135,40,55,70.5,90,30,Cotton,Magnesium Sulphate
Red ,14,40,55,70.5,90,30,Cotton,Magnesium Sulphate
Red ,145,40,55,70.5,90,30,Cotton,Magnesium Sulphate
Red ,15,40,55,70.5,90,30,Cotton,Magnesium Sulphate
Red ,100,45,60,60,100,35,Cotton,Magnesium Sulphate
Red ,105,45,60,60,100,35,Cotton,Magnesium Sulphate
Red ,100,45,60,60,100,35,Cotton,Magnesium Sulphate
Red ,115,45,60,60,100,35,Cotton,Magnesium Sulphate
Red ,120,45,60,60,100,35,Cotton,Magnesium Sulphate
Red ,125,45,60,60,100,35,Cotton,Magnesium Sulphate
Red ,13,45,60,60,100,35,Cotton,Magnesium Sulphate
Red ,135,45,60,60,100,35,Cotton,Magnesium Sulphate
Red ,14,45,60,60,100,35,Cotton,Magnesium Sulphate
Red ,145,45,60,60,100,35,Cotton,Magnesium Sulphate
Red ,15,45,60,60,100,35,Cotton,Magnesium Sulphate
Red ,100,50,65,60.5,80,25,Cotton,Magnesium Sulphate
Red ,105,50,65,60.5,80,25,Cotton,Magnesium Sulphate
Red ,100,50,65,60.5,80,25,Cotton,Magnesium Sulphate
Red ,115,50,65,60.5,80,25,Cotton,Magnesium Sulphate
Red ,120,50,65,60.5,80,25,Cotton,Magnesium Sulphate
Red ,125,50,65,60.5,80,25,Cotton,Magnesium Sulphate
Red ,13,50,65,60.5,80,25,Cotton,Magnesium Sulphate
Red ,135,50,65,60.5,80,25,Cotton,Magnesium Sulphate
Red ,14,50,65,60.5,80,25,Cotton,Magnesium Sulphate
Red ,145,50,65,60.5,80,25,Cotton,Magnesium Sulphate
Red ,15,50,65,60.5,80,25,Cotton,Magnesium Sulphate
Red ,100,55,70,70,90,30,Cotton,Magnesium Sulphate
Red ,105,55,70,70,90,30,Cotton,Magnesium Sulphate
Red ,100,55,70,70,90,30,Cotton,Magnesium Sulphate
Red ,115,55,70,70,90,30,Cotton,Magnesium Sulphate
Red ,120,55,70,70,90,30,Cotton,Magnesium Sulphate
Red ,125,55,70,70,90,30,Cotton,Magnesium Sulphate
Red ,13,55,70,70,90,30,Cotton,Magnesium Sulphate
Red ,135,55,70,70,90,30,Cotton,Magnesium Sulphate
Red ,14,55,70,70,90,30,Cotton,Magnesium Sulphate
Red ,145,55,70,70,90,30,Cotton,Magnesium Sulphate
Red ,15,55,70,70,90,30,Cotton,Magnesium Sulphate
Red ,100,60,75,70.5,100,35,Cotton,Magnesium Sulphate
Red ,105,60,75,70.5,100,35,Cotton,Magnesium Sulphate
Red ,100,60,75,70.5,100,35,Cotton,Magnesium Sulphate
Red ,115,60,75,70.5,100,35,Cotton,Magnesium Sulphate
Red ,120,60,75,70.5,100,35,Cotton,Magnesium Sulphate
Red ,125,60,75,70.5,100,35,Cotton,Magnesium Sulphate
Red ,13,60,75,70.5,100,35,Cotton,Magnesium Sulphate
Red ,135,60,75,70.5,100,35,Cotton,Magnesium Sulphate
Red ,14,60,75,70.5,100,35,Cotton,Magnesium Sulphate
Red ,145,60,75,70.5,100,35,Cotton,Magnesium Sulphate
Red ,15,60,75,70.5,100,35,Cotton,Magnesium Sulphate
